Area,Value,Room,Living,School,Year,Floor
60,135,2,1,1,1944,6
87,450,3,1,1,1952,4
87,450,3,1,1,1952,4
87,500,3,1,1,1952,4
87,500,3,1,1,1952,4
57,355,2,1,1,1954,3
57,355,2,1,1,1954,3
63,415,2,1,1,1954,6
70,435,3,1,1,1954,3
71,420,3,1,1,1954,3
83,230,3,1,1,1956,4
59,220,1,1,1,1957,5
57,350,2,0,1,1958,3
57,350,2,0,1,1958,3
57,350,2,0,1,1958,3
67,180,2,1,0,1958,4
67,180,2,1,0,1958,4
67,180,2,1,0,1958,4
86,248,3,2,0,1959,4
59,275,2,1,1,1960,5
60,279,2,1,1,1960,5
60,279,2,1,1,1960,5
60,279,2,1,1,1960,5
60,350,2,1,1,1960,3
87,350,3,1,1,1960,5
90,405,3,1,0,1960,5
111,270,3,1,0,1960,5
115,730,4,1,1,1961,4
54,267,3,1,1,1963,4
60,355,2,1,0,1963,6
60,355,2,1,0,1963,6
60,355,2,1,0,1963,6
65,385,2,1,1,1963,6
81,218,3,0,0,1963,6
81,218,3,0,0,1963,6
63,280,2,1,1,1964,5
63,280,2,1,1,1964,5
63,310,2,1,0,1965,5
64,398,2,1,1,1965,5
66,160,2,1,1,1965,5
71,340,3,1,1,1966,5
87,330,2,1,1,1966,20
87,330,2,1,1,1966,20
71,360,3,1,0,1967,5
71,360,3,1,0,1967,5
71,360,3,1,0,1967,5
71,360,3,1,0,1967,5
85,500,3,1,1,1967,4
85,500,3,1,1,1967,4
85,500,3,1,1,1967,4
42,198,1,0,0,1970,12
50,190,2,1,0,1970,6
50,190,2,1,0,1970,6
52,235,2,1,1,1970,6
52,235,2,1,1,1970,6
53,189,2,1,0,1970,6
54,125,2,1,0,1970,5
54,125,2,1,0,1970,5
54,125,2,1,0,1970,5
54,275,2,1,1,1970,11
58,255,2,1,1,1970,5
65,265,3,1,0,1970,5
65,265,3,1,0,1970,5
65,265,3,1,0,1970,5
65,265,3,1,0,1970,5
83,505,4,1,1,1970,6
38,87,2,1,0,1971,5
78,180,2,1,1,1971,5
78,180,2,1,1,1971,5
78,180,2,1,1,1971,5
56,310,2,1,1,1972,6
43,130,2,1,1,1973,6
43,130,2,1,1,1973,6
45,335,2,1,1,1973,6
45,335,2,1,1,1973,6
51,340,2,1,1,1973,6
51,340,2,1,1,1973,6
52,350,2,1,1,1973,5
52,350,2,1,1,1973,5
34,85,1,1,0,1974,4
37,245,1,1,1,1974,6
37,245,1,1,1,1974,6
48,230,2,0,1,1974,5
48,230,2,0,1,1974,5
48,230,2,0,1,1974,5
48,230,2,0,1,1974,5
49,460,2,1,1,1974,6
50,219,2,1,0,1974,6
59,495,2,1,1,1974,6
62,510,2,1,1,1974,6
45,228,2,1,1,1975,6
48,185,2,1,1,1975,6
48,185,2,1,1,1975,6
48,360,2,1,1,1975,5
54,235,2,1,1,1975,6
55,225,2,1,0,1975,12
55,225,2,1,0,1975,12
57,165,2,1,1,1975,5
58,245,3,1,1,1975,5
58,245,3,1,1,1975,5
58,390,3,1,1,1975,5
58,390,3,1,1,1975,5
59,290,2,1,1,1975,4
59,475,2,1,1,1975,6
59,475,2,1,1,1975,6
62,315,2,1,1,1975,6
62,315,2,1,1,1975,6
43,195,2,1,0,1976,5
43,195,2,1,0,1976,5
44,127,2,1,0,1976,6
45,215,2,1,1,1976,6
46,220,2,1,0,1976,4
46,220,2,1,0,1976,4
46,420,2,1,0,1976,6
48,132,2,1,0,1976,5
48,132,2,1,0,1976,5
48,132,2,1,0,1976,5
48,400,2,1,1,1976,4
49,210,2,1,0,1976,6
90,390,3,1,0,1976,5
90,390,3,1,0,1976,5
90,390,3,1,0,1976,5
46,98,2,1,1,1977,5
46,98,2,1,1,1977,5
51,278,2,1,1,1977,5
51,278,2,1,1,1977,5
53,125,2,1,1,1977,5
53,125,2,1,1,1977,5
54,145,2,1,0,1977,5
60,240,3,1,1,1977,6
42,270,1,1,1,1978,6
48,277,2,1,1,1978,5
53,260,2,1,0,1978,6
53,260,2,1,0,1978,6
54,180,2,1,0,1978,6
54,180,2,1,0,1978,6
54,260,2,1,1,1978,5
54,260,2,1,1,1978,5
54,285,2,1,0,1978,5
56,158,2,1,0,1978,5
56,158,2,1,0,1978,5
56,158,2,1,0,1978,5
56,158,2,1,0,1978,5
59,229,2,1,0,1978,5
59,229,2,1,0,1978,5
60,165,2,1,0,1978,5
61,225,2,1,0,1978,6
74,415,3,1,1,1978,6
36,155,1,1,0,1979,6
36,190,1,1,1,1979,6
41,209,2,1,0,1979,5
49,195,2,1,0,1979,6
50,265,2,1,1,1979,6
50,265,2,1,1,1979,6
51,350,2,1,1,1979,6
51,380,2,1,1,1979,6
51,400,2,1,1,1979,5
53,175,2,1,1,1979,6
53,255,2,1,1,1979,6
53,255,2,1,1,1979,6
54,185,2,1,0,1979,12
54,185,2,1,0,1979,12
54,185,2,1,0,1979,12
54,185,2,1,0,1979,12
54,243,2,1,1,1979,6
55,210,2,1,0,1979,6
55,285,2,1,1,1979,6
55,285,2,1,1,1979,6
55,368,2,1,1,1979,6
55,368,2,1,1,1979,6
55,430,2,1,1,1979,6
56,200,2,1,0,1979,6
56,223,3,1,0,1979,6
56,223,3,1,0,1979,6
56,270,2,1,1,1979,10
56,395,2,1,1,1979,10
57,240,3,1,0,1979,5
57,240,3,1,0,1979,5
57,290,2,1,1,1979,6
57,290,2,1,1,1979,6
57,290,2,1,1,1979,6
58,160,3,1,0,1979,6
58,398,2,1,1,1979,16
58,398,2,1,1,1979,16
59,190,2,1,1,1979,6
60,205,2,1,0,1979,12
60,470,2,1,1,1979,5
60,470,2,1,1,1979,5
60,470,2,1,1,1979,5
61,210,2,1,0,1979,6
61,210,2,1,0,1979,6
62,230,2,1,1,1979,6
64,272,2,1,0,1979,6
64,300,2,1,0,1979,6
67,290,2,1,1,1979,12
68,280,2,1,1,1979,6
71,215,2,1,0,1979,25
71,215,2,1,0,1979,25
72,330,2,1,0,1979,12
72,330,2,1,0,1979,12
72,490,3,1,1,1979,6
73,440,3,1,1,1979,16
73,488,3,1,1,1979,6
81,270,3,1,0,1979,6
81,270,3,1,0,1979,6
85,305,3,1,0,1979,6
85,305,3,1,0,1979,6
37,150,1,1,0,1980,5
37,150,1,1,0,1980,5
37,150,1,1,0,1980,5
37,150,1,1,0,1980,5
38,155,1,1,1,1980,1
38,155,1,1,1,1980,1
38,168,1,1,0,1980,6
39,152,1,1,1,1980,6
40,135,1,1,0,1980,6
40,140,1,1,1,1980,5
40,140,1,1,1,1980,5
40,150,1,1,0,1980,15
40,150,1,1,0,1980,15
40,160,1,1,0,1980,18
40,380,1,1,1,1980,12
40,380,1,1,1,1980,12
41,148,1,1,1,1980,6
41,150,1,1,0,1980,5
41,166,1,1,0,1980,6
41,166,1,1,0,1980,6
41,166,1,1,0,1980,6
41,175,1,1,1,1980,5
41,175,1,1,1,1980,5
42,215,1,1,1,1980,16
43,160,1,1,1,1980,6
43,198,1,1,1,1980,18
43,200,1,1,0,1980,14
